S.NO.,CODE,Noman,PART NUMBER,PARTICULAR,SECTION,C.H. Ø (mm) & POSITION,S.H DETAIL (mm),Sub-Cateogry,Brand,SPECIAL Category,POSITION,Type,Leaf Type Code,Vehicle Maker,vehicle code,Sub_seg_desc,Sub_seg_code,Lens in inches,DBP ,MRP,ML - DBP(Rs),Length (Inches),Image,2P - DBP(Rs),Length (Inches),Image,3 - DBP(Rs),Length (Inches),Image,4 - DBP(Rs),Length (Inches),Image,5 - DBP(Rs),Length (Inches),Image,6 - DBP(Rs),Length (Inches),Image,7 - DBP(Rs),Length (Inches),Image,8 - DBP(Rs),Length (Inches),Image,9 - DBP(Rs),Length (Inches),Image,10 - DBP(Rs),Length (Inches),Image,11 - DBP(Rs),Length (Inches),Image,12 - DBP(Rs),Length (Inches),Image,13 - DBP(Rs),Length (Inches),Image,14 - DBP(Rs),Length (Inches),Image,AA - DBP(Rs),Length (Inches),Image,AB - DBP(Rs),Length (Inches),Image,3A - DBP(Rs),Length (Inches),Image,4A - DBP(Rs),Length (Inches),Image,L1W - DBP(Rs),Length (Inches),Image,L2W - DBP(Rs),Length (Inches),Image,ASSY - DBP(Rs),,,15/L,Length (Inches),Image,16/L,Length (Inches),Image,17/L,Length (Inches),Image,18/L,Length (Inches),Image,19/L,Length (Inches),Image,2/L,Length (Inches),Image,20/L,Length (Inches),Image,HELPER SPL,Length (Inches),Image,PP,Length (Inches),Image,SPL LEAF,Length (Inches),Image
21,006100,0061,2640 3210 0114, 608 TRUCK (FR),0X0,12.5 OFFSET,5/L ONE SIDE & 8/L  BOTH SIDE Ø 10.3,TATA,TATA,,1,ASSY.,2,TATA,24,LCV,3,0.00,5010,7590,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,5010,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
22,006101,0061,2640 3210 0114, 608 TRUCK (FR),70X7,12.5 OFFSET,5/L ONE SIDE & 8/L  BOTH SIDE Ø 10.3,TATA,TATA,,1,M/L,5,TATA,24,LCV,3,57.48,630,950,630,57.48031496,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
23,006102,0061,2640 3210 0114, 608 TRUCK (FR),70X7,12.5 OFFSET,5/L ONE SIDE & 8/L  BOTH SIDE Ø 10.3,TATA,TATA,,1,2/L,5,TATA,24,LCV,3,55.51,590,890,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,590,55.51181102,,0,0,,0,0,,0,0,,0,0,
24,006103,0061,2640 3210 0114, 608 TRUCK (FR),70X7,12.5 OFFSET,5/L ONE SIDE & 8/L  BOTH SIDE Ø 10.3,TATA,TATA,,1,3/L,5,TATA,24,LCV,3,49.80,540,820,0,0,,0,0,,540,49.80314961,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
25,006104,0061,2640 3210 0114, 608 TRUCK (FR),70X7,12.5 OFFSET,5/L ONE SIDE & 8/L  BOTH SIDE Ø 10.3,TATA,TATA,,1,4/L,5,TATA,24,LCV,3,46.81,520,790,0,0,,0,0,,0,0,,520,46.81102362,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
26,006105,0061,2640 3210 0114, 608 TRUCK (FR),70X7,12.5 OFFSET,5/L ONE SIDE & 8/L  BOTH SIDE Ø 10.3,TATA,TATA,,1,5/L,5,TATA,24,LCV,3,42.28,450,680,0,0,,0,0,,0,0,,0,0,,450,42.28346457,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
27,006106,0061,2640 3210 0114, 608 TRUCK (FR),70X7,12.5 OFFSET,5/L ONE SIDE & 8/L  BOTH SIDE Ø 10.3,TATA,TATA,,1,6/L,5,TATA,24,LCV,3,37.72,410,620,0,0,,0,0,,0,0,,0,0,,0,0,,410,37.71653543,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
28,006107,0061,2640 3210 0114, 608 TRUCK (FR),70X7,12.5 OFFSET,5/L ONE SIDE & 8/L  BOTH SIDE Ø 10.3,TATA,TATA,,1,7/L,5,TATA,24,LCV,3,33.19,370,560,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,370,33.18897638,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
29,006108,0061,2640 3210 0114, 608 TRUCK (FR),70X7,12.5 OFFSET,5/L ONE SIDE & 8/L  BOTH SIDE Ø 10.3,TATA,TATA,,1,8/L,5,TATA,24,LCV,3,28.62,320,480,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,320,28.62204724,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
30,006109,0061,2640 3210 0114, 608 TRUCK (FR),70X7,12.5 OFFSET,5/L ONE SIDE & 8/L  BOTH SIDE Ø 10.3,TATA,TATA,,1,9/L,5,TATA,24,LCV,3,24.09,270,410,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,270,24.09448819,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
