name,item_code,variant,item_description,category,subcategory,segment,subsegment,leaftype,leaftype,leaf_desc,leafposition,vehicle,vechiclemodel,drawing_refno,mrp1,mrp2,mrp3,mrp4,mrp5,dbp1,dbp2,dbp3,dbp4,dbp5,status,priority,substitute,weight,length,section,ch_detail,sh_detail,item_weight,suitableFor,image
TATA 2515 EX(80X13) R AUX-B,250232,AMI,TATA 2515 EX(80X13) R AUX-B,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,AUXILLIARY,LOOSE LEAF,AUX-B,Rear,TATA,2515,2.78232E+11,1710,1250,0,0,0,1710,1250,0,0,0,1,3,,9.87,50,,,,,,
TATA 608 TRUCK (F) AUX-B,6132,AMI,TATA 608 TRUCK (F) AUX-B,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,LCV,AUXILLIARY,LOOSE LEAF,AUX-B,Front,TATA,608,2.64032E+11,800,590,0,0,0,800,590,0,0,0,1,3,,4.452,49.41,,,,,,
TATA 65/1210 12.5(H) 3/L,20303,AMI,TATA 65/1210 12.5(H) 3/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,LOOSE LEAF,LOOSE LEAF,3/L,Helper,TATA,1210,042320008J,980,720,0,0,0,980,720,0,0,0,1,3,,5.703,34.25,,,,,,
LL E COMET 912SM/1112 RR SUSP. SPR. B6Y00701/02 &B6Y2801/02 3/L,436303,AMI,LL E COMET 912SM/1112 RR SUSP. SPR. B6Y00701/02 &B6Y2801/02 3/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,LOOSE LEAF,LOOSE LEAF,3/L,Helper,ASHOK LEYLAND,E.COMET,B6Y00701/02&B6Y2801/02,1320,970,0,0,0,1320,970,0,0,0,1,3,,7.168,46.38,,,,,,
TATA ACE EDGE FR Aux-B,666132,AMI,TATA ACE EDGE FR Aux-B,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,LCV,AUXILLIARY,LOOSE LEAF,AUX-B,Front,TATA,ACE,5.54532E+11,560,410,0,0,0,560,410,0,0,0,1,3,,2.494,31.5,,,,,,
SUMO SPRINT/ GRAND MK:II Rear,317201B,AMI,SUMO SPRINT/ GRAND MK:II Rear,LEAF SPRING,NON BS6 VEHICLE,PARABOLIC,LP,LOOSE LEAF,LOOSE LEAF,M/L WITH BUSH,Rear,TATA,SUMO,289732400108/289532400117,1950,1430,0,0,0,1950,1430,0,0,0,1,3,,6.44,44.29,,,,,,
TATA SUMO NM (R) 3/L,229203N,AMI,TATA SUMO NM (R) 3/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,MUV,LOOSE LEAF,LOOSE LEAF,3/L,Rear,TATA,SUMO,2.70132E+11,820,600,0,0,0,820,600,0,0,0,1,3,,3.8,38.03,,,,,,
M&M Front SPRING ASSY 3/L,683103,AMI,M&M Front SPRING ASSY 3/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,LCV,LOOSE LEAF,LOOSE LEAF,3/L,Front,MAHINDRA,OTHERS,0401AA0750N,1110,810,0,0,0,1110,810,0,0,0,1,3,,5.034,38.39,,,,,,
M&M Front SPRING ASSY 4/L,683104,AMI,M&M Front SPRING ASSY 4/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,LCV,LOOSE LEAF,LOOSE LEAF,4/L,Front,MAHINDRA,OTHERS,0401AA0750N,970,710,0,0,0,970,710,0,0,0,1,3,,4.326,32.99,,,,,,
M&M GIO Rear DRG. NO.0402AA1860N AUX-A,354231,AMI,M&M GIO Rear DRG. NO.0402AA1860N AUX-A,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,LCV,AUXILLIARY,LOOSE LEAF,AUX-A,Rear,MAHINDRA,OTHERS,O402AA1860N,820,600,0,0,0,820,600,0,0,0,1,3,,4.27,36.22,,,,,,
TATA SFC 407 PICKUP FR TRUCK 4/L,678104,AMI,TATA SFC 407 PICKUP FR TRUCK 4/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,LCV,LOOSE LEAF,LOOSE LEAF,4/L,Front,TATA,407,2.65232E+11,800,590,0,0,0,800,590,0,0,0,1,3,,3.667,27.95,,,,,,
TATA ACE (F) AUX-B,233232,AMI,TATA ACE (F) AUX-B,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,LCV,AUXILLIARY,LOOSE LEAF,AUX-B,Rear,TATA,ACE,2.82932E+11,700,510,0,0,0,700,510,0,0,0,1,3,,2.769,30.98,,,,,,
TATA SFC 407 PICKUP FR TRUCK 3/L,678103,AMI,TATA SFC 407 PICKUP FR TRUCK 3/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,LCV,LOOSE LEAF,LOOSE LEAF,3/L,Front,TATA,407,2.65232E+11,1140,830,0,0,0,1140,830,0,0,0,1,3,,5.112,38.98,,,,,,
TATA LCV BUS (R) AUX-B,13232,AMI,TATA LCV BUS (R) AUX-B,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,LCV,AUXILLIARY,LOOSE LEAF,AUX-B,Rear,TATA,OTHERS,2.65132E+11,850,620,0,0,0,850,620,0,0,0,1,3,,4.71,50.79,,,,,,
AMBASSADOR AUX-A,35231,AMI,AMBASSADOR AUX-A,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,LCV,AUXILLIARY,LOOSE LEAF,AUX-A,Rear,HM,AMBASSADOR,3002578,450,330,0,0,0,450,330,0,0,0,1,3,,1.96,43.9,,,,,,
M&M Front SPRING ASSY 6/L,683106,AMI,M&M Front SPRING ASSY 6/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,LCV,LOOSE LEAF,LOOSE LEAF,6/L,Front,MAHINDRA,OTHERS,0401AA0750N,650,480,0,0,0,650,480,0,0,0,1,3,,2.91,22.17,,,,,,
M&M Front SPRING ASSY 5/L,683105,AMI,M&M Front SPRING ASSY 5/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,LCV,LOOSE LEAF,LOOSE LEAF,5/L,Front,MAHINDRA,OTHERS,0401AA0750N,790,580,0,0,0,790,580,0,0,0,1,3,,3.618,27.56,,,,,,
M&M BOLERO Rear 5/L SPL,195205S,AMI,M&M BOLERO Rear 5/L SPL,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,MUV,LOOSE LEAF,LOOSE LEAF,5/L,Rear,MAHINDRA,BOLERO,0402AA0310N,520,380,0,0,0,520,380,0,0,0,1,3,,2.4,24.17,,,,,,
LP 407 29WB FR PB - M/L - 5532 3210 0103,1078101,AMI,LP 407 29WB FR PB - M/L - 5532 3210 0103,LEAF SPRING,NON BS6 VEHICLE,PARABOLIC,HP,LOOSE LEAF,LOOSE LEAF,M/L,Front,TATA,407,5.53232E+11,2320,1700,0,0,0,2320,1700,0,0,0,1,3,,8.924,46.06,,,,,,
LP 407 29WB FR PB - AUX 3A - 5532 3210 0103,1078133,AMI,LP 407 29WB FR PB - AUX 3A - 5532 3210 0103,LEAF SPRING,NON BS6 VEHICLE,PARABOLIC,HP,AUXILLIARY,LOOSE LEAF,AUX 3A,Front,TATA,407,5.53232E+11,1710,1250,0,0,0,1710,1250,0,0,0,1,3,,7.017,36.22,,,,,,
TATA LP 407 29WB M/L 553232400106,1078201,AMI,TATA LP 407 29WB M/L 553232400106,LEAF SPRING,NON BS6 VEHICLE,PARABOLIC,HP,LOOSE LEAF,LOOSE LEAF,M/L,Rear,TATA,407,5.53232E+11,2420,1780,0,0,0,2420,1780,0,0,0,1,3,,9.382,48.43,,,,,,
LP 407 29WB RR PB - AUX 3A - 5532 3240 0107,1078233,AMI,LP 407 29WB RR PB - AUX 3A - 5532 3240 0107,LEAF SPRING,NON BS6 VEHICLE,PARABOLIC,HP,AUXILLIARY,LOOSE LEAF,AUX 3A,Rear,TATA,407,5.53232E+11,1710,1250,0,0,0,1710,1250,0,0,0,1,3,,7.017,36.22,,,,,,
E.COMET RR DRG NO:F4507810 5/L,298205,AMI,E.COMET RR DRG NO:F4507810 5/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,LOOSE LEAF,LOOSE LEAF,5/L,Rear,ASHOK LEYLAND,E.COMET,X4507810/910//B3217703/04WB,1060,780,0,0,0,1060,780,0,0,0,1,3,,5.94,29.37,,,,,,
E.COMET RR DRG NO:F4507810 3/L,298203,AMI,E.COMET RR DRG NO:F4507810 3/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,LOOSE LEAF,LOOSE LEAF,3/L,Rear,ASHOK LEYLAND,E.COMET,X4507810/910//B3217703/04WB,1920,1410,0,0,0,1920,1410,0,0,0,1,3,,10.75,53.82,,,,,,
3723 R FA 1 Front SPRING  (PARA.) 2/L HIGHER ASSY P.NO A400 320 5201,1019102,AMI,3723 R FA 1 Front SPRING  (PARA.) 2/L HIGHER ASSY P.NO A400 320 5201,LEAF SPRING,NON BS6 VEHICLE,PARABOLIC,HP,LOOSE LEAF,LOOSE LEAF,2/L,Front,DAIMLER,3723,A4003205201,4770,3500,0,0,0,4770,3500,0,0,0,1,3,,19.05,44.88,,,,,,
"WEVELLER -4"" Front 10/L",276110,AMI,"WEVELLER -4"" Front 10/L",LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,LOOSE LEAF,LOOSE LEAF,10/L,Front,ASHOK LEYLAND,WEVELLER,F4506910,830,610,0,0,0,830,610,0,0,0,1,3,,3.89,17.8,,,,,,
TML LP 909 BUS Rear 2821 3240 0112 3A,336233,AMI,TML LP 909 BUS Rear 2821 3240 0112 3A,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,AUXILLIARY,LOOSE LEAF,AUX-3A,Rear,TATA,LP 909,2.82132E+11,2200,1610,0,0,0,2200,1610,0,0,0,1,3,,12.7,61.02,,,,,,
AMBASSADOR 2/L1W,352021,AMI,AMBASSADOR 2/L1W,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,LCV,LOOSE LEAF,LOOSE LEAF,2/L1W,Rear,HM,AMBASSADOR,3002578,560,410,0,0,0,560,410,0,0,0,1,3,,2.44,54.33,,,,,,
LPX828012 2/L,642221,AMI,LPX828012 2/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,LOOSE LEAF,LOOSE LEAF,1WR,Rear,SWARAJ MAZDA,SWARAJ MAZDA,LPX828010A,1650,1210,0,0,0,1650,1210,0,0,0,1,3,,7.318,49.33,,,,,,
AL TAG AXLE RR SPRING - 'FTW03500 - 2/L,1044202,AMI,AL TAG AXLE RR SPRING - 'FTW03500 - 2/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,LOOSE LEAF,LOOSE LEAF,M/L,Rear,ASHOK LEYLAND,OTHERS,FTW03500,2350,1720,0,0,0,2350,1720,0,0,0,1,3,,11.082,57.09,,,,,,
TATA 2515 EX (R) 4/L,250204,AMI,TATA 2515 EX (R) 4/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,LOOSE LEAF,LOOSE LEAF,4/L,Rear,TATA,2515,2.78232E+11,1700,1240,0,0,0,1700,1240,0,0,0,1,3,,9.73,50.79,,,,,,
TML WORLD LP 3127 FR PB IST AXL 3/L,329103,AMI,TML WORLD LP 3127 FR PB IST AXL 3/L,LEAF SPRING,NON BS6 VEHICLE,PARABOLIC,HP,LOOSE LEAF,LOOSE LEAF,3/L,Front,TATA,3127,500632100121/0122,5170,3790,0,0,0,5170,3790,0,0,0,1,3,,19.59,45.67,,,,,,
TATA LCV 407 (F) M/L - GMB,141011,AMI,TATA LCV 407 (F) M/L - GMB,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,LCV,LOOSE LEAF,LOOSE LEAF,M/L - GMB,Front,TATA,407,2.65132E+11,1270,930,0,0,0,1270,930,0,0,0,1,3,,5.744,56.46,,,,,,
TATA ACE EDGE RR Aux-B,666232,AMI,TATA ACE EDGE RR Aux-B,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,LCV,AUXILLIARY,LOOSE LEAF,AUX-B,Rear,TATA,ACE,5.54532E+11,610,440,0,0,0,610,440,0,0,0,1,3,,2.775,35.04,,,,,,
"WEVELLER -4"" Front 8/L",276108,AMI,"WEVELLER -4"" Front 8/L",LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,LOOSE LEAF,LOOSE LEAF,8/L,Front,ASHOK LEYLAND,WEVELLER,F4506910,1330,980,0,0,0,1330,980,0,0,0,1,3,,6.19,28.35,,,,,,
AMW 1618 Front 251 00 0051 M/L,333101,AMI,AMW 1618 Front 251 00 0051 M/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,LOOSE LEAF,LOOSE LEAF,M/L,Front,AMW,1618,251000051,4710,3450,0,0,0,4710,3450,0,0,0,1,3,,18.36,77.17,,,,,,
Rear LEAF SPRING ASSY - PARABOLIC 2/L,601202,AMI,Rear LEAF SPRING ASSY - PARABOLIC 2/L,LEAF SPRING,NON BS6 VEHICLE,PARABOLIC,LP,LOOSE LEAF,LOOSE LEAF,2/L,Rear,NISSAN,OTHERS,550203LH0A,1820,1330,0,0,0,1820,1330,0,0,0,1,3,,5.489,32.48,,,,,,
4X2 Rear SPRING ASSY H/3,702303,AMI,4X2 Rear SPRING ASSY H/3,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,LOOSE LEAF,LOOSE LEAF,H/3,Helper,DAIMLER,OTHERS,A4003200308,2410,1760,0,0,0,2410,1760,0,0,0,1,3,,12.65,37.8,,,,,,
LL F9F00510 PARBOLIC Front - FV 4TH,306104,AMI,LL F9F00510 PARBOLIC Front - FV 4TH,LEAF SPRING,NON BS6 VEHICLE,PARABOLIC,HP,LOOSE LEAF,LOOSE LEAF,4/L,Front,ASHOK LEYLAND,OTHERS,F9F00510,5320,3900,0,0,0,5320,3900,0,0,0,1,3,,21.013,47.24,,,,,,
LYE(2214) UPGD(VE)Rear 3/L,245203,AMI,LYE(2214) UPGD(VE)Rear 3/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,LOOSE LEAF,LOOSE LEAF,3/L,Rear,ASHOK LEYLAND,2214,F4510910/B3205513,1910,1400,0,0,0,1910,1400,0,0,0,1,3,,10.477,50,,,,,,
TATA 1613 LPT (F) 4/L,252104,AMI,TATA 1613 LPT (F) 4/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,LOOSE LEAF,LOOSE LEAF,4/L,Front,TATA,1613,2.63232E+11,1480,1090,0,0,0,1480,1090,0,0,0,1,3,,10.66,57.09,,,,,,
FML 202 Front 688 320 6/L,431106,AMI,FML 202 Front 688 320 6/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,LCV,LOOSE LEAF,LOOSE LEAF,6/L,Front,FML,202,6863200202,350,260,0,0,0,350,260,0,0,0,1,3,,1.919,23.62,,,,,,
PASSENGER Rear SPRIGN ASSY (ASHOK LEYLAND) 2/L,605202,AMI,PASSENGER Rear SPRIGN ASSY (ASHOK LEYLAND) 2/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,LOOSE LEAF,LOOSE LEAF,2/L,Rear,ASHOK LEYLAND,OTHERS,B3207604LH&B3,4080,2990,0,0,0,4080,2990,0,0,0,1,3,,19.741,78.35,,,,,,
FML 202 Front 688 320 7/L,431107,AMI,FML 202 Front 688 320 7/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,LCV,LOOSE LEAF,LOOSE LEAF,7/L,Front,FML,202,6863200202,260,190,0,0,0,260,190,0,0,0,1,3,,1.356,16.69,,,,,,
TATA 2515 EX (R) 10/L,250210,AMI,TATA 2515 EX (R) 10/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,LOOSE LEAF,LOOSE LEAF,10/L,Rear,TATA,2515,2.78232E+11,1090,800,0,0,0,1090,800,0,0,0,1,3,,5.96,31.93,,,,,,
EICHER (T) (H) 3/L,48303,AMI,EICHER (T) (H) 3/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,LCV,LOOSE LEAF,LOOSE LEAF,3/L,Helper,EICHER,EICHER,MB391167,470,340,0,0,0,470,340,0,0,0,1,3,,2.22,27.95,,,,,,
TATA 609/709(T) R 264432400103 5/L,203205N,AMI,TATA 609/709(T) R 264432400103 5/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,LCV,LOOSE LEAF,LOOSE LEAF,5/L,Rear,TATA,609,2.64432E+11,890,650,0,0,0,890,650,0,0,0,1,3,,4.44,30.87,,,,,,
LEY TRAILER SPRING 14 LEAVES M/L - 12.5MM,1015201M,AMI,LEY TRAILER SPRING 14 LEAVES M/L - 12.5MM,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,LOOSE LEAF,LOOSE LEAF,M/L,Rear,TRAILER,TRAILER,,1210,890,0,0,0,1210,890,0,0,0,1,3,,7.2,44.96,,,,,,
LL E COMET 912SM/1112 RR SUSP. SPR. B6Y00701/02 &B6Y2801/02 8/L,436208,AMI,LL E COMET 912SM/1112 RR SUSP. SPR. B6Y00701/02 &B6Y2801/02 8/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,LOOSE LEAF,LOOSE LEAF,8/L,Rear,ASHOK LEYLAND,E.COMET,B6Y00701/02&B6Y2801/02,560,410,0,0,0,560,410,0,0,0,1,3,,3.162,16.22,,,,,,
LYE(2214) UPGD(VE)Rear 5/L,245205,AMI,LYE(2214) UPGD(VE)Rear 5/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,LOOSE LEAF,LOOSE LEAF,5/L,Rear,ASHOK LEYLAND,2214,F4510910/B3205513,1390,1020,0,0,0,1390,1020,0,0,0,1,3,,7.524,35.91,,,,,,
EICHER PRO 8031 FR PB,996103,AMI,EICHER PRO 8031 FR PB,LEAF SPRING,NON BS6 VEHICLE,PARABOLIC,HP,LOOSE LEAF,LOOSE LEAF,3/L,Front,EICHER,EICHER,,4180,3060,0,0,0,4180,3060,0,0,0,1,3,,17.3,42.2,,,,,,
TATA 1613 LPT (F) (NEW) STIFFER 11/L,252111N,AMI,TATA 1613 LPT (F) (NEW) STIFFER 11/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,LOOSE LEAF,LOOSE LEAF,11/L,Front,TATA,1613,2.63232E+11,350,260,0,0,0,350,260,0,0,0,1,3,,2.12,11.61,,,,,,
TATA SFC LPT 609/709(T) H NM 6/L,203306N,AMI,TATA SFC LPT 609/709(T) H NM 6/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,LCV,LOOSE LEAF,LOOSE LEAF,6/L,Helper,TATA,609,2.64432E+11,290,210,0,0,0,290,210,0,0,0,1,3,,1.62,15.2,,,,,,
EML MCV FR - 2/L - IC324276,1070121,AMI,EML MCV FR - 2/L - IC324276,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,LCV,LOOSE LEAF,LOOSE LEAF,1WR,Front,EICHER,EICHER,IC324276,1520,1110,0,0,0,1520,1110,0,0,0,1,3,,7.182,54.72,,,,,,
LEY TRAILER SPRING 14 LEAVES M/L,380201N,AMI,LEY TRAILER SPRING 14 LEAVES M/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,LOOSE LEAF,LOOSE LEAF,M/L,Rear,ASHOK LEYLAND,TRAILER,PD/01/67002,1210,890,0,0,0,1210,890,0,0,0,1,3,,7.342,44.96,,,,,,
SWARAJ MAZDA T F MODIFIED ASSY.N/M,070100M,AMI,SWARAJ MAZDA T F MODIFIED ASSY.N/M,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,LCV,ASSEMBLY,LOOSE LEAF,ASSEMBLY,Front,SWARAJ MAZDA,SWARAJ MAZDA,LPX134010,6880,5040,0,0,0,6880,5040,0,0,0,1,3,,31.099,0,,,,,,
TATA 1613 LPT (R) 9/L,252209,AMI,TATA 1613 LPT (R) 9/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,LOOSE LEAF,LOOSE LEAF,9/L,Rear,TATA,1613,2.78232E+11,1320,970,0,0,0,1320,970,0,0,0,1,3,,7.353,35.24,,,,,,
TATA 1613 LPT (R) 10/L,252210,AMI,TATA 1613 LPT (R) 10/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,LOOSE LEAF,LOOSE LEAF,10/L,Rear,TATA,1613,2.78232E+11,1110,810,0,0,0,1110,810,0,0,0,1,3,,6.42,30.75,,,,,,
XENON COMPACT (CONV.) 5/L,741205,AMI,XENON COMPACT (CONV.) 5/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,LCV,LOOSE LEAF,LOOSE LEAF,5/L,Rear,TATA,XENON,2.89832E+11,710,520,0,0,0,710,520,0,0,0,1,3,,3.4,36.02,,,,,,
LYE(2214) UPGD(VE)Rear 4/L,245204,AMI,LYE(2214) UPGD(VE)Rear 4/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,LOOSE LEAF,LOOSE LEAF,4/L,Rear,ASHOK LEYLAND,2214,F4510910/B3205513,1520,1110,0,0,0,1520,1110,0,0,0,1,3,,8.184,39.06,,,,,,
VECV RR SPRING ASSY - 'IC345223 - M/L,1046201,AMI,VECV RR SPRING ASSY - 'IC345223 - M/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,LOOSE LEAF,LOOSE LEAF,M/L,Rear,EICHER,EICHER,IC345223,1950,1430,0,0,0,1950,1430,0,0,0,1,3,,8.951,62.2,,,,,,
FML 202 Front 688 320 5/L,431105,AMI,FML 202 Front 688 320 5/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,LCV,LOOSE LEAF,LOOSE LEAF,5/L,Front,FML,202,6863200202,470,340,0,0,0,470,340,0,0,0,1,3,,2.478,30.51,,,,,,
TATA SFC-609 (T) (H) 6/L,203306,AMI,TATA SFC-609 (T) (H) 6/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,LCV,LOOSE LEAF,LOOSE LEAF,6/L,Helper,TATA,609,2.64432E+11,240,180,0,0,0,240,180,0,0,0,1,3,,1.1,12.99,,,,,,
TATA 1210D Front LEAVES WITH 70 9th,018109N,AMI,TATA 1210D Front LEAVES WITH 70 9th,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,LOOSE LEAF,LOOSE LEAF,9TH,Front,TATA,1210,3423200902/257432100124,470,340,0,0,0,470,340,0,0,0,1,3,,2.57,14.72,,,,,,
NGICV 11.9 Front SPRING M/L,747101,AMI,NGICV 11.9 Front SPRING M/L,LEAF SPRING,NON BS6 VEHICLE,PARABOLIC,HP,LOOSE LEAF,LOOSE LEAF,M/L,Front,ASHOK LEYLAND,NGICV,B5E02503,5730,4200,0,0,0,5730,4200,0,0,0,1,3,,22.127,50.79,,,,,,
VECV RR SPRING ASSY - 'IC345223 - H1/L,1046301,AMI,VECV RR SPRING ASSY - 'IC345223 - H1/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,LOOSE LEAF,LOOSE LEAF,M/L,Helper,EICHER,EICHER,IC345223,1050,770,0,0,0,1050,770,0,0,0,1,3,,4.857,37.01,,,,,,
VECV RR SPRING ASSY - 'IC345223 - H2/L,1046302,AMI,VECV RR SPRING ASSY - 'IC345223 - H2/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,LOOSE LEAF,LOOSE LEAF,M/L,Helper,EICHER,EICHER,IC345223,1050,770,0,0,0,1050,770,0,0,0,1,3,,4.857,37.01,,,,,,
FML TRAX CRUISER RR NEW MODEL - 5/L - 3372N,337205N,AMI,FML TRAX CRUISER RR NEW MODEL - 5/L - 3372N,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,LCV,LOOSE LEAF,LOOSE LEAF,5/L,Rear,FML,OTHERS,B008543200906,680,500,0,0,0,680,500,0,0,0,1,3,,3.15,34.25,,,,,,
TATA SFC LPT 609/709(T) H NM 3/L,203303N,AMI,TATA SFC LPT 609/709(T) H NM 3/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,LCV,LOOSE LEAF,LOOSE LEAF,3/L,Helper,TATA,609,2.64432E+11,640,470,0,0,0,640,470,0,0,0,1,3,,3.55,33.27,,,,,,
LYE(2214)UPGRADED MAV-VE Front 7/L,245107,AMI,LYE(2214)UPGRADED MAV-VE Front 7/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,LOOSE LEAF,LOOSE LEAF,7/L,Front,ASHOK LEYLAND,2214,F4510810,910,670,0,0,0,910,670,0,0,0,1,3,,4.904,26.46,,,,,,
NGSB Rear  (PBL) 2/L,695202,AMI,NGSB Rear  (PBL) 2/L,LEAF SPRING,NON BS6 VEHICLE,PARABOLIC,HP,LOOSE LEAF,LOOSE LEAF,2/L,Rear,ASHOK LEYLAND,OTHERS,B6Y10401,3650,2680,0,0,0,3650,2680,0,0,0,1,3,,13.896,44.69,,,,,,
A/LEY NGICV 15XX FR PARA 3/L,500103,AMI,A/LEY NGICV 15XX FR PARA 3/L,LEAF SPRING,NON BS6 VEHICLE,PARABOLIC,HP,LOOSE LEAF,LOOSE LEAF,3/L,Front,ASHOK LEYLAND,NGICV,B5E01901,4030,2950,0,0,0,4030,2950,0,0,0,1,3,,15.45,47.24,,,,,,
TATA LP-709 (F) AUX-A (S),203831S,AMI,TATA LP-709 (F) AUX-A (S),LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,AUXILLIARY,LOOSE LEAF,AUX-A (S),Front,TATA,709,264132100117N/264132100115N,940,690,0,0,0,940,690,0,0,0,1,3,,4.5,41.34,,,,,,
AL TAG AXLE RR SPRING - AUX 3A - FTW03400,1055233,AMI,AL TAG AXLE RR SPRING - AUX 3A - FTW03400,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,AUXILLIARY,LOOSE LEAF,AUX 3A,Rear,ASHOK LEYLAND,OTHERS,FTW03400,1820,1330,0,0,0,1820,1330,0,0,0,1,3,,9.324,48.03,,,,,,
AL TAG AXLE RR SPRING - AUX 3B - FTW03400,1055234,AMI,AL TAG AXLE RR SPRING - AUX 3B - FTW03400,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,AUXILLIARY,LOOSE LEAF,AUX 4A,Rear,ASHOK LEYLAND,OTHERS,FTW03400,1640,1200,0,0,0,1640,1200,0,0,0,1,3,,8.384,43.19,,,,,,
SLIDER BOGIE SUSPENSION LEAF SPRING - M/L - IC370092,1072201,AMI,SLIDER BOGIE SUSPENSION LEAF SPRING - M/L - IC370092,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,LOOSE LEAF,LOOSE LEAF,M/L,Rear,EICHER,BOGIE,IC370092,5090,3730,0,0,0,5090,3730,0,0,0,1,3,,26.825,65.55,,,,,,
SLIDER BOGIE SUSPENSION LEAF SPRING - 2/L - IC370092,1072202,AMI,SLIDER BOGIE SUSPENSION LEAF SPRING - 2/L - IC370092,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,LOOSE LEAF,LOOSE LEAF,2/L,Rear,EICHER,BOGIE,IC370092,5150,3770,0,0,0,5150,3770,0,0,0,1,3,,26.745,65.35,,,,,,
