name,item_code,variant,item_description,category,subcategory,segment,subsegment,leaftype,leaftype,leaf_desc,leafposition,vehicle,vechiclemodel,drawing_refno,mrp1,mrp2,mrp3,mrp4,mrp5,dbp1,dbp2,dbp3,dbp4,dbp5,status,priority,substitute,weight,length,section,ch_detail,sh_detail,item_weight,suitableFor,image
M&M PICKUP RR 029726 THICK 9.53 AUX-A1 - ST. CUT-SPL LEAF,64241,AMI,M&M PICKUP RR 029726 THICK 9.53 AUX-A1 - ST. CUT-SPL LEAF,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,LCV,LOOSE LEAF,ASSEMBLY,AUX-A1,Rear,MAHINDRA,PICKUP,29726,1120,820,0,0,0,1120,820,0,0,0,1,1,,5.559,47.64,,,,,,
M&M (BOLERO PICKUP) MAX NM FR AUX-B,066132N,AMI,M&M (BOLERO PICKUP) MAX NM FR AUX-B,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,LCV,AUXILLIARY,ASSEMBLY,AUX-B,Front,MAHINDRA,BOLERO,0401AA0290N,590,430,0,0,0,590,430,0,0,0,1,2,,2.73,35.83,,,,,,
EICHER MCV RR 4189 3/L,68203,AMI,EICHER MCV RR 4189 3/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,LOOSE LEAF,ASSEMBLY,3/L,Rear,EICHER,EICHER,IA204189/IA204164(M/L),1140,830,0,0,0,1140,830,0,0,0,1,2,,6.382,44.88,,,,,,
EICHER MCV RR 4189 AUX-A,68231,AMI,EICHER MCV RR 4189 AUX-A,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,AUXILLIARY,ASSEMBLY,AUX-A,Rear,EICHER,EICHER,IA204189/IA204164(M/L),1330,980,0,0,0,1330,980,0,0,0,1,1,,7.22,50.39,,,,,,
EICHER MCV RR 4189 AUX-B,68232,AMI,EICHER MCV RR 4189 AUX-B,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,AUXILLIARY,ASSEMBLY,AUX-B,Rear,EICHER,EICHER,IA204189/IA204164(M/L),1230,900,0,0,0,1230,900,0,0,0,1,2,,6.78,47.24,,,,,,
LEY2516 C.H 16.5MM (R) NEW M/L,242201N,AMI,LEY2516 C.H 16.5MM (R) NEW M/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,LOOSE LEAF,ASSEMBLY,M/L,Rear,ASHOK LEYLAND,2516,F4508210,2700,1980,0,0,0,2700,1980,0,0,0,1,1,,14.484,63.07,,,,,,
LEY2516 C.H 16.0MM (R) NEW AUX-B,242232N,AMI,LEY2516 C.H 16.0MM (R) NEW AUX-B,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,AUXILLIARY,ASSEMBLY,AUX-B,Rear,ASHOK LEYLAND,2516,F4508210,2050,1500,0,0,0,2050,1500,0,0,0,1,2,,11.552,48.35,,,,,,
M&M PICKUP VAN FR 029725 AUX-A,64131,AMI,M&M PICKUP VAN FR 029725 AUX-A,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,LCV,AUXILLIARY,ASSEMBLY,AUX-A,Front,MAHINDRA,PICKUP,29725,450,330,0,0,0,450,330,0,0,0,1,1,,2.12,36.22,,,,,,
M&M PICKUP VAN FR 029725 AUX-B,64132,AMI,M&M PICKUP VAN FR 029725 AUX-B,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,LCV,AUXILLIARY,ASSEMBLY,AUX-B,Front,MAHINDRA,PICKUP,29725,410,300,0,0,0,410,300,0,0,0,1,2,,1.89,32.28,,,,,,
M&M PICKUP VAN RR 029726 2ND PLAIN,064202PS,AMI,M&M PICKUP VAN RR 029726 2ND PLAIN,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,LCV,LOOSE LEAF,ASSEMBLY,2/L,Rear,MAHINDRA,PICKUP,29726,1260,920,0,0,0,1260,920,0,0,0,1,3,,6.1,51.97,,,,,,
